essay_id,essay_set,score,rank,rank_group
9909,4,0.6048137172613846,0.7334839073969509,3
9873,4,1.6684930551659671,0.9373235460191982,4
305,1,0.9565255884349272,0.7711721817162086,3
12771,5,-1.4512090736048893,0.10692520775623268,0
6840,3,0.18621697682461744,0.5654692931633836,2
4125,2,0.7541493343443002,0.7998888271261813,3
3997,2,-0.5367304491812894,0.34296831573096165,1
12700,5,1.6389588908349382,0.9290858725761773,4
7054,3,1.4129746180432716,0.9015063731170336,4
9442,4,1.6684930551659671,0.9079616036137775,4
6088,3,0.18621697682461744,0.4015063731170336,2
514,1,-0.3433868537750332,0.2652832305103758,1
9,1,0.306569367329947,0.5490745933819405,2
9111,4,0.6048137172613846,0.5804630152456239,2
3250,2,-1.827610232706879,0.02668148971650917,0
15799,6,-0.74178594562373,0.23833333333333334,1
12713,5,-0.4211530854582802,0.35678670360110804,1
15491,6,0.28847231218700775,0.5088888888888888,2
20987,8,-0.33896009966429486,0.34163208852005533,1
15517,6,0.28847231218700775,0.5161111111111111,2
18073,7,0.4225500583881878,0.638623326959847,3
7083,3,-1.040540664394037,0.24797219003476245,1
541,1,-0.3433868537750332,0.27313516545148625,1
10540,4,0.6048137172613846,0.8396386222473179,4
4178,2,0.7541493343443002,0.8137854363535297,4
18542,7,1.5129794031432313,0.9177820267686424,4
16280,6,0.28847231218700775,0.7133333333333334,3
4060,2,2.04502911786989,0.9783212896053363,4
13631,5,-0.4211530854582802,0.5401662049861495,2
1221,1,0.9565255884349272,0.857543466068424,4
11942,5,0.6089029026883289,0.5673130193905818,2
12642,5,-1.4512090736048893,0.09529085872576178,0
1157,1,-1.6432992959849935,0.06842400448681997,0
10115,4,-0.458865620643198,0.43817052512704685,2
12414,5,-2.4812650617514986,0.003878116343490305,0
4715,2,0.7541493343443002,0.9405225125069483,4
13142,5,-1.4512090736048893,0.13961218836565098,0
7105,3,-1.040540664394037,0.25550405561993045,1
4684,2,0.7541493343443002,0.9321845469705392,4
12846,5,0.6089029026883289,0.7135734072022161,3
15225,6,1.3187305699977454,0.8372222222222222,4
7548,3,1.4129746180432716,0.9762456546929317,4
15668,6,-1.772044203434468,0.06555555555555556,0
6718,3,-1.040540664394037,0.16801853997682503,0
7557,3,-1.040540664394037,0.3505214368482039,1
4605,2,-0.5367304491812894,0.4802668148971651,2
12394,5,-0.4211530854582802,0.2869806094182826,1
16120,6,0.28847231218700775,0.6722222222222223,3
9378,4,-0.458865620643198,0.28402032749858835,1
10001,4,-0.458865620643198,0.4116318464144551,2
6590,3,0.18621697682461744,0.5162224797219004,2
1604,1,-0.3433868537750332,0.5081323611890073,2
7382,3,0.18621697682461744,0.683082271147161,3
18178,7,1.2948935341922225,0.8718929254302104,4
1064,1,0.306569367329947,0.6517106001121705,3
3810,2,-0.5367304491812894,0.2934963868816009,1
9319,4,1.6684930551659671,0.8972332015810277,4
10448,4,-0.458865620643198,0.4997176736307171,2
10449,4,-0.458865620643198,0.5002823263692829,2
4540,2,2.04502911786989,0.9888827126181212,4
8955,4,1.6684930551659671,0.8667419536984754,4
21452,8,-0.6865744997455441,0.2669432918395574,1
7621,3,-1.040540664394037,0.3626882966396292,1
10394,4,-1.5225449585477806,0.1507622811970638,0
1124,1,0.306569367329947,0.6590016825574874,3
13467,5,-0.4211530854582802,0.5074792243767313,2
6100,3,0.18621697682461744,0.4026651216685979,2
3991,2,0.7541493343443002,0.7659811006114509,3
16254,6,0.28847231218700775,0.7055555555555556,3
12311,5,-0.4211530854582802,0.2709141274238227,1
7471,3,-1.040540664394037,0.33198146002317497,1
3712,2,-0.5367304491812894,0.2707059477487493,1
19080,7,-1.3221368932198818,0.12810707456978968,0
20748,8,-0.16515289962367025,0.39557399723374825,1
12230,5,0.6089029026883289,0.6149584487534626,3
6818,3,1.4129746180432716,0.8725376593279258,4
18089,7,1.076807665241214,0.8291905672402804,4
6455,3,1.4129746180432716,0.8238702201622248,4
9538,4,0.6048137172613846,0.6589497459062676,3
13321,5,-0.4211530854582802,0.4814404432132964,2
16098,6,-0.74178594562373,0.2688888888888889,1
12951,5,0.6089029026883289,0.7313019390581718,3
21467,8,1.3991119007419512,0.9363762102351314,4
656,1,0.306569367329947,0.6079641054402692,3
18604,7,1.076807665241214,0.8419375398342893,4
21302,8,0.5300759005388281,0.7330567081604425,3
6177,3,0.18621697682461744,0.42526071842410196,2
1631,1,-0.3433868537750332,0.514301738642737,2
21188,8,0.008654300416954357,0.5089903181189488,2
7529,3,-1.040540664394037,0.34414831981460026,1
12092,5,-1.4512090736048893,0.038781163434903045,0
17923,7,1.076807665241214,0.8240917782026769,4
15439,6,-0.74178594562373,0.19555555555555557,0
3961,2,0.7541493343443002,0.7570872707059477,3
7028,3,1.4129746180432716,0.8974507531865585,4
19114,7,0.8587217962902052,0.8087954110898662,4
7596,3,0.18621697682461744,0.7271147161066048,3
723,1,0.9565255884349272,0.8065058889512058,4
21054,8,1.051497500660702,0.8699861687413555,4
11986,5,1.6389588908349382,0.8686980609418282,4
9356,4,-0.458865620643198,0.2795031055900621,1
18791,7,1.5129794031432313,0.9267049075844487,4
6013,3,-1.040540664394037,0.031286210892236384,0
10119,4,-1.5225449585477806,0.11688311688311688,0
21404,8,0.008654300416954357,0.5283540802213001,2
312,1,-0.9933430748800134,0.10095344924284913,0
388,1,-0.9933430748800134,0.10431856421761077,0
100,1,-0.9933430748800134,0.09366236679753225,0
6010,3,-1.040540664394037,0.030127462340672075,0
13561,5,-0.4211530854582802,0.5246537396121884,2
4213,2,0.7541493343443002,0.8221234018899388,4
3600,2,0.7541493343443002,0.6709282934963868,3
13122,5,-0.4211530854582802,0.44265927977839337,2
9393,4,-1.5225449585477806,0.04630152456239413,0
9032,4,-0.458865620643198,0.20892151326933936,1
1607,1,0.306569367329947,0.71228266965788,3
18500,7,0.8587217962902052,0.7820267686424475,3
21472,8,-0.6865744997455441,0.26832641770401106,1
20992,8,0.5300759005388281,0.6473029045643154,3
14912,6,0.28847231218700775,0.365,1
15349,6,0.28847231218700775,0.475,2
20942,8,0.5300759005388281,0.6348547717842323,3
64,1,-0.9933430748800134,0.09029725182277061,0
19208,7,0.6406359273391965,0.745697896749522,3
19308,7,0.2044641894371791,0.621414913957935,3
48,1,1.6064818095399074,0.9136287156477846,4
814,1,-0.3433868537750332,0.3393157599551318,1
13062,5,-0.4211530854582802,0.4299168975069252,2
18640,7,0.4225500583881878,0.6673040152963671,3
10335,4,0.6048137172613846,0.8040654997176736,4
6520,3,0.18621697682461744,0.49942062572421786,2
18549,7,0.8587217962902052,0.7839388145315488,3
18818,7,1.73106527209424,0.9738687061822817,4
15890,6,-0.74178594562373,0.24944444444444444,1
1360,1,-0.3433868537750332,0.45877734155916994,2
9703,4,-1.5225449585477806,0.08243929983060418,0
15322,6,-0.74178594562373,0.18055555555555555,0
15201,6,0.28847231218700775,0.44055555555555553,2
21478,8,0.8776903006200774,0.8561549100968188,4
10197,4,0.6048137172613846,0.7809147374364765,3
4609,2,0.7541493343443002,0.9166203446359088,4
21405,8,0.5300759005388281,0.7524204702627939,3
363,1,-0.3433868537750332,0.23051037577117217,1
4447,2,-0.5367304491812894,0.4452473596442468,2
9244,4,-0.458865620643198,0.25804630152456237,1
